possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.29763195,"[0.18763652, 0.11832617, 0.077293254, 0.07489807, 0.10531163, 0.12631981, 0.15971382, 0.1505007]",3943043,772,Spain,2,5148,5156,Goal
137,0.27407882,"[0.20717315, 0.12681772, 0.083215445, 0.08054813, 0.11138314, 0.12741518, 0.13625896, 0.12718835]",3943043,768,England,2,5265,5279,Pass
9,0.27335292,"[0.19320852, 0.12517233, 0.0770788, 0.072253816, 0.10514425, 0.1211978, 0.15870589, 0.14723861]",3943043,772,Spain,1,244,258,Pass
123,0.2641818,"[0.20353931, 0.12902294, 0.08285317, 0.077977866, 0.10328652, 0.13373803, 0.14074115, 0.12884103]",3943043,772,Spain,2,4644,4660,Pass
138,0.25811046,"[0.31706163, 0.17524508, 0.14469111, 0.1360983, 0.22690392, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
60,0.24966405,"[0.21172054, 0.13288221, 0.08706165, 0.08346832, 0.11179517, 0.1280092, 0.14263895, 0.102424]",3943043,772,Spain,1,2258,2270,Pass
26,0.24268943,"[0.19678698, 0.12838265, 0.08097003, 0.07711996, 0.10964217, 0.12460839, 0.1555342, 0.12695567]",3943043,768,England,1,873,883,Pass
134,0.24226971,"[0.19687054, 0.12808669, 0.080582164, 0.07829259, 0.12235593, 0.1387387, 0.14123182, 0.11384155]",3943043,772,Spain,2,5083,5097,Pass
105,0.2404484,"[0.21406196, 0.13908702, 0.088228785, 0.082168184, 0.11509716, 0.12289049, 0.10581039, 0.132656]",3943043,772,Spain,2,3938,3945,Shot
109,0.23929824,"[0.19769597, 0.12622863, 0.07996035, 0.07812096, 0.116183475, 0.12810194, 0.14870478, 0.12500392]",3943043,772,Spain,2,4084,4090,Pass
58,0.23774348,"[0.20774783, 0.12715247, 0.08120392, 0.07778526, 0.10956908, 0.12922762, 0.15261741, 0.114696376]",3943043,772,Spain,1,2147,2155,Pass
30,0.23574062,"[0.20369509, 0.12827528, 0.079673305, 0.077132806, 0.11987048, 0.14319608, 0.14385222, 0.104304776]",3943043,772,Spain,1,1120,1128,Pass
69,0.2275799,"[0.21480085, 0.12857188, 0.081101835, 0.07553257, 0.107363015, 0.12300755, 0.16072235, 0.10889994]",3943043,772,Spain,1,2532,2544,Shot
120,0.21710335,"[0.20130901, 0.12955397, 0.08137511, 0.07761329, 0.108235836, 0.12034991, 0.15292275, 0.12864022]",3943043,768,England,2,4442,4454,Pass
81,0.19794378,"[0.1264716, 0.095534265, 0.07853404, 0.074637204, 0.10780948, 0.11929874, 0.15463674, 0.243078]",3943043,772,Spain,2,2755,2769,Goal
129,0.18256652,"[0.19012336, 0.11946636, 0.07267194, 0.06735912, 0.08970711, 0.13952185, 0.17317082, 0.14797936]",3943043,772,Spain,2,4871,4875,Shot
75,0.1691327,"[0.4954914, 0.30734962, 0.19715899, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
22,0.16260754,"[0.5340427, 0.28793293, 0.1780243, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
36,0.16042049,"[0.18050829, 0.14273627, 0.086918324, 0.08246272, 0.12524751, 0.14394476, 0.14388748, 0.09429465]",3943043,772,Spain,1,1349,1364,Pass
83,0.15117073,"[0.2068226, 0.14182991, 0.08538829, 0.080601625, 0.111421734, 0.12995975, 0.14081258, 0.10316361]",3943043,772,Spain,2,2891,2899,Shot
24,0.14512539,"[0.16068438, 0.13099611, 0.084805645, 0.08070285, 0.11466927, 0.12814382, 0.15515736, 0.14484048]",3943043,772,Spain,1,817,832,Pass
40,0.13651057,"[0.16351545, 0.12827611, 0.08623494, 0.081709765, 0.120991424, 0.13034406, 0.15881746, 0.13011074]",3943043,768,England,1,1452,1460,Pass
124,0.124426015,"[0.308752, 0.2196454, 0.13438755, 0.13300611, 0.2042089, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4697,4703,Pass
102,0.1116439,"[0.12257485, 0.099020265, 0.091865964, 0.09128959, 0.14084284, 0.17303012, 0.17471084, 0.10666562]",3943043,768,England,2,3862,3874,Pass
115,0.10765319,"[0.31572846, 0.22953892, 0.13507175, 0.1244839, 0.19517708, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4304,4310,Shot
38,0.10000565,"[0.3513701, 0.23893887, 0.13996415, 0.12373502, 0.14599194, 0.0, 0.0, 0.0]",3943043,772,Spain,1,1374,1378,Pass
29,0.099974535,"[0.1362053, 0.12272552, 0.08341837, 0.0851981, 0.12826978, 0.14430222, 0.14940338, 0.15047736]",3943043,772,Spain,1,1071,1085,Pass
111,0.09147905,"[0.08256918, 0.14709957, 0.094406806, 0.0857335, 0.11788112, 0.18893965, 0.28337014, 0.0]",3943043,768,England,2,4194,4209,Shot
21,0.086625256,"[0.15168189, 0.117037036, 0.08055963, 0.08055006, 0.13544562, 0.15199088, 0.16128772, 0.12144713]",3943043,772,Spain,1,657,673,Shot
77,0.08145685,"[0.4853464, 0.323166, 0.19148757, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,2763,2766,Pass
133,0.08070872,"[0.12355971, 0.11619887, 0.085889146, 0.09278093, 0.14023079, 0.1596967, 0.16046633, 0.1211776]",3943043,772,Spain,2,5038,5044,Pass
10,0.061897464,"[0.3741364, 0.28482345, 0.17705846, 0.16398165, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,287,294,Pass
117,0.059601225,"[0.08630838, 0.08203509, 0.07501128, 0.072584674, 0.123793274, 0.1841782, 0.21285287, 0.16323622]",3943043,768,England,2,4315,4328,Goal
27,0.059234515,"[0.0982282, 0.09710613, 0.08382336, 0.08701037, 0.13920093, 0.16832216, 0.19084504, 0.13546385]",3943043,768,England,1,1002,1014,Pass
12,0.058090635,"[0.09834954, 0.10981907, 0.08510997, 0.0906407, 0.12377911, 0.16304232, 0.18224254, 0.14701666]",3943043,772,Spain,1,423,432,Pass
44,0.057971813,"[0.11423958, 0.095600314, 0.08673351, 0.08448205, 0.14386703, 0.18078516, 0.17831549, 0.115976915]",3943043,772,Spain,1,1634,1647,Shot
125,0.05623252,"[0.13454972, 0.09657345, 0.07643628, 0.07375944, 0.117570505, 0.16257997, 0.20028609, 0.13824455]",3943043,772,Spain,2,4755,4766,Pass
92,0.0551887,"[0.12329729, 0.10344181, 0.08695656, 0.08867019, 0.13915, 0.16717726, 0.17490155, 0.11640537]",3943043,772,Spain,2,3307,3323,Shot
87,0.052093267,"[0.120776385, 0.10714634, 0.08208074, 0.08100489, 0.12829001, 0.16946344, 0.19000997, 0.12122824]",3943043,768,England,2,2980,2989,Pass
56,0.051244684,"[0.1307769, 0.09968035, 0.07933491, 0.07622131, 0.117426336, 0.16294745, 0.19359063, 0.14002214]",3943043,772,Spain,1,2000,2012,Pass
97,0.049976543,"[0.106957845, 0.10734047, 0.08235883, 0.0852735, 0.115263306, 0.16873102, 0.18772885, 0.14634629]",3943043,772,Spain,2,3526,3531,Pass
100,0.04784507,"[0.09144216, 0.08904147, 0.08802868, 0.08982593, 0.14934257, 0.18092348, 0.19324537, 0.118150406]",3943043,768,England,2,3773,3792,Shot
122,0.04734055,"[0.24905185, 0.24960949, 0.16832404, 0.15884048, 0.17417422, 0.0, 0.0, 0.0]",3943043,768,England,2,4521,4530,Pass
2,0.04565348,"[0.46687722, 0.3450123, 0.18811047, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,0,4,Pass
110,0.044060238,"[0.0784843, 0.098852836, 0.0811521, 0.08510878, 0.14358339, 0.17440173, 0.1917605, 0.1466564]",3943043,772,Spain,2,4138,4147,Shot
63,0.042873476,"[0.092938334, 0.10813744, 0.07765262, 0.08221869, 0.12932108, 0.16808097, 0.18426435, 0.1573865]",3943043,768,England,1,2359,2375,Pass
107,0.039489448,"[0.34596926, 0.41331944, 0.24071132, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4058,4060,Pass
74,0.03739638,"[0.104192086, 0.09878341, 0.08350296, 0.08465085, 0.13059615, 0.13790785, 0.19742689, 0.16293973]",3943043,768,England,1,2640,2648,Shot
66,0.037001826,"[0.09179562, 0.09671943, 0.07775288, 0.088447936, 0.13548224, 0.17869097, 0.19952281, 0.13158807]",3943043,768,England,1,2448,2460,Pass
106,0.036813404,"[0.17399839, 0.18714328, 0.11119908, 0.11170429, 0.18765956, 0.22829545, 0.0, 0.0]",3943043,772,Spain,2,3985,3993,Shot
146,0.03658525,"[0.27500305, 0.30661583, 0.2092563, 0.20912479, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,2,5560,5567,Foul
121,0.036191765,"[0.108090155, 0.11352594, 0.08321296, 0.08480594, 0.10359799, 0.1422327, 0.20932615, 0.15520814]",3943043,768,England,2,4482,4489,Pass
91,0.03604295,"[0.09314231, 0.08992642, 0.08428317, 0.08594295, 0.12708123, 0.16218881, 0.1946353, 0.16279978]",3943043,772,Spain,2,3245,3255,Shot
82,0.033237133,"[0.4299896, 0.35347623, 0.21653412, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,2,2841,2848,Pass
32,0.03274605,"[0.081913866, 0.08301136, 0.07645189, 0.0781782, 0.1331863, 0.18432654, 0.21781965, 0.14511211]",3943043,772,Spain,1,1237,1251,Pass
4,0.032250818,"[0.09950683, 0.100726165, 0.0815039, 0.08630077, 0.101719484, 0.1543435, 0.21034418, 0.16555528]",3943043,772,Spain,1,68,91,Pass
130,0.032179475,"[0.11326631, 0.09847479, 0.085329466, 0.081675075, 0.11005417, 0.14229518, 0.20745696, 0.16144799]",3943043,772,Spain,2,4919,4929,Pass
50,0.03200207,"[0.10653119, 0.09948717, 0.08522383, 0.08499267, 0.12563607, 0.15220287, 0.19478028, 0.15114588]",3943043,772,Spain,1,1768,1782,Pass
132,0.031244053,"[0.11258899, 0.12590544, 0.09682716, 0.10455931, 0.16078225, 0.21242988, 0.18690702, 0.0]",3943043,768,England,2,4971,4977,Pass
142,0.03028059,"[0.24591805, 0.30770364, 0.22426331, 0.22211501, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,2,5447,5454,Foul
15,0.03023241,"[0.092303686, 0.110456444, 0.08456861, 0.090089634, 0.12774125, 0.16631004, 0.18523248, 0.14329785]",3943043,772,Spain,1,471,480,Pass
46,0.028902225,"[0.08553198, 0.09187148, 0.07734713, 0.08252459, 0.113413006, 0.1824243, 0.20041423, 0.16647324]",3943043,768,England,1,1696,1714,Pass
89,0.028750012,"[0.08541652, 0.08547724, 0.0806097, 0.07902372, 0.1162655, 0.16046673, 0.23016451, 0.16257614]",3943043,768,England,2,3069,3078,Pass
