possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.2876258,"[0.16181299, 0.115897626, 0.07775725, 0.066993505, 0.085676916, 0.13874228, 0.1923745, 0.16074486]",3943043,772,Spain,2,5148,5156,Goal
92,0.28640562,"[0.15371895, 0.112736315, 0.07512363, 0.0643294, 0.08306995, 0.13705836, 0.19672206, 0.17724143]",3943043,772,Spain,2,3287,3299,Shot
138,0.2838536,"[0.30480784, 0.23322867, 0.14171307, 0.12878574, 0.1914646, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
26,0.27050936,"[0.16003418, 0.11623784, 0.078180335, 0.06765338, 0.08841057, 0.14616382, 0.19560394, 0.14771602]",3943043,768,England,1,872,883,Pass
9,0.270475,"[0.16390431, 0.11871687, 0.07843228, 0.06811822, 0.08862865, 0.14096746, 0.19487078, 0.14636146]",3943043,772,Spain,1,244,258,Pass
123,0.26976377,"[0.16440955, 0.11916562, 0.07927186, 0.06874714, 0.08791447, 0.14454247, 0.19522473, 0.14072423]",3943043,772,Spain,2,4644,4660,Pass
137,0.26922917,"[0.16631585, 0.11464828, 0.07883461, 0.067866646, 0.08818074, 0.14439186, 0.19486396, 0.14489809]",3943043,768,England,2,5265,5279,Pass
69,0.26813287,"[0.16859388, 0.12405749, 0.08325602, 0.071298696, 0.09036085, 0.14309, 0.18268135, 0.13666168]",3943043,772,Spain,1,2532,2544,Shot
26,0.26498416,"[0.16163476, 0.11726436, 0.07923418, 0.06804539, 0.08776006, 0.14273594, 0.19250609, 0.15081921]",3943043,768,England,1,873,883,Pass
69,0.26190743,"[0.1721763, 0.1222524, 0.08206468, 0.070657104, 0.090314396, 0.14125758, 0.18811655, 0.13316098]",3943043,772,Spain,1,2530,2544,Pass
134,0.2547285,"[0.16292524, 0.11782165, 0.0783666, 0.06723639, 0.08779405, 0.14437105, 0.19420025, 0.1472848]",3943043,772,Spain,2,5083,5097,Pass
110,0.2504261,"[0.16367456, 0.11873147, 0.082259186, 0.068218656, 0.08877618, 0.14470515, 0.19610323, 0.13753152]",3943043,772,Spain,2,4127,4142,Pass
123,0.24920759,"[0.16433012, 0.11923392, 0.07964118, 0.06817147, 0.08869064, 0.14301781, 0.19003502, 0.14687973]",3943043,772,Spain,2,4643,4659,Pass
105,0.24871455,"[0.15966149, 0.11749867, 0.0789504, 0.067446284, 0.08830276, 0.14342105, 0.19723079, 0.1474885]",3943043,772,Spain,2,3938,3945,Shot
109,0.24759188,"[0.15935053, 0.11700108, 0.078657776, 0.067610234, 0.089697406, 0.14742427, 0.1938124, 0.1464463]",3943043,772,Spain,2,4084,4090,Pass
9,0.24274139,"[0.16114698, 0.11786146, 0.07883823, 0.06742295, 0.0888878, 0.14533927, 0.19135277, 0.14915067]",3943043,772,Spain,1,239,257,Pass
30,0.23558639,"[0.16318405, 0.119472, 0.07876863, 0.06756389, 0.08814625, 0.14590897, 0.1920391, 0.14491704]",3943043,772,Spain,1,1120,1128,Pass
9,0.23497099,"[0.16308598, 0.11901522, 0.079643145, 0.068064086, 0.08847575, 0.14322072, 0.19553065, 0.14296453]",3943043,772,Spain,1,236,252,Pass
9,0.2320361,"[0.16188225, 0.11599351, 0.07771385, 0.067178905, 0.0878299, 0.1465335, 0.19501153, 0.14785656]",3943043,772,Spain,1,234,249,Pass
110,0.22708331,"[0.16772704, 0.11805556, 0.07840523, 0.068360195, 0.087103866, 0.1429607, 0.19188596, 0.14550143]",3943043,772,Spain,2,4125,4140,Pass
129,0.22516619,"[0.1464717, 0.10991615, 0.07329454, 0.06357776, 0.085878395, 0.14794743, 0.20493048, 0.16798356]",3943043,772,Spain,2,4869,4873,Shot
120,0.22414637,"[0.16018519, 0.11664677, 0.07907111, 0.06870666, 0.090809, 0.15021144, 0.19201279, 0.14235711]",3943043,768,England,2,4439,4453,Pass
22,0.2170298,"[0.478379, 0.30614847, 0.21547258, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
120,0.215602,"[0.16081594, 0.11913039, 0.08098365, 0.06933509, 0.09120809, 0.14430606, 0.19288127, 0.14133944]",3943043,768,England,2,4442,4454,Pass
136,0.20713873,"[0.15677944, 0.11550837, 0.07856042, 0.06819667, 0.089297466, 0.1465043, 0.19527413, 0.1498793]",3943043,772,Spain,2,5147,5155,Pass
24,0.19788352,"[0.15386495, 0.11365323, 0.077110365, 0.067376226, 0.088014804, 0.14636682, 0.19983098, 0.15378264]",3943043,772,Spain,1,815,831,Pass
60,0.19728495,"[0.14888664, 0.10785043, 0.07699498, 0.06782642, 0.088649705, 0.14946085, 0.2024326, 0.15789849]",3943043,772,Spain,1,2258,2270,Pass
24,0.19423042,"[0.15276709, 0.1135694, 0.07949328, 0.069580995, 0.08976791, 0.14718287, 0.20135367, 0.14628482]",3943043,772,Spain,1,817,832,Pass
129,0.18820803,"[0.14039178, 0.10617645, 0.073475696, 0.06348315, 0.08556244, 0.15052995, 0.20037675, 0.18000366]",3943043,772,Spain,2,4870,4874,Shot
75,0.18754192,"[0.46311626, 0.3144043, 0.22247946, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
69,0.18659647,"[0.1403348, 0.10997534, 0.078328915, 0.07029756, 0.09305416, 0.15460545, 0.20165136, 0.15175237]",3943043,772,Spain,1,2528,2543,Pass
36,0.18467148,"[0.14621317, 0.11342866, 0.07927908, 0.068814754, 0.08991045, 0.14861348, 0.19848481, 0.15525565]",3943043,772,Spain,1,1349,1364,Pass
129,0.17493764,"[0.12885535, 0.1005052, 0.07300551, 0.0642432, 0.09039288, 0.15334387, 0.21470118, 0.17495283]",3943043,772,Spain,2,4871,4875,Shot
92,0.17147896,"[0.08598206, 0.07386956, 0.06640155, 0.069742076, 0.10396389, 0.18107845, 0.23833673, 0.1806257]",3943043,772,Spain,2,3294,3304,Shot
40,0.16443713,"[0.14139701, 0.11400081, 0.08165742, 0.071372926, 0.09095342, 0.15062317, 0.20521902, 0.1447763]",3943043,768,England,1,1452,1460,Pass
81,0.15885842,"[0.106494114, 0.08734714, 0.07348416, 0.0708504, 0.09503375, 0.15369971, 0.21601945, 0.19707131]",3943043,772,Spain,2,2755,2769,Goal
40,0.15737604,"[0.13903373, 0.10619584, 0.07881468, 0.07017808, 0.09116802, 0.147822, 0.20574126, 0.16104645]",3943043,768,England,1,1451,1459,Pass
92,0.15357383,"[0.095930435, 0.08058545, 0.07652893, 0.07476326, 0.10011547, 0.17528036, 0.2247247, 0.17207137]",3943043,772,Spain,2,3295,3307,Shot
