possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.28386918,"[0.02105019, 0.020151585, 0.019766053, 0.0015273779, 4.3426484e-05, 2.0498355e-05, 0.71654624, 0.2208946]",3943043,772,Spain,2,5148,5156,Goal
138,0.27935642,"[0.0009029489, 0.032952286, 0.87731797, 0.045220323, 0.04360649, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
26,0.2765414,"[0.017125264, 0.0020120079, 0.013212124, 0.0041592713, 0.015294413, 0.0011288465, 0.877895, 0.06917311]",3943043,768,England,1,873,883,Pass
92,0.27466583,"[0.07234863, 0.8948186, 0.0052299504, 1.2259575e-05, 0.0003368843, 0.000110446854, 0.0004777183, 0.026665501]",3943043,772,Spain,2,3298,3315,Shot
26,0.27296087,"[0.0065020365, 0.01079513, 0.0027536147, 0.013997948, 0.001990146, 0.029348478, 0.0009602262, 0.9336524]",3943043,768,England,1,872,883,Pass
9,0.27068132,"[0.0052047917, 0.0058357744, 0.005746024, 0.0050522443, 0.006618775, 0.0077324947, 0.9537363, 0.010073608]",3943043,772,Spain,1,244,258,Pass
123,0.2692893,"[0.0010408717, 0.000595811, 0.001220213, 0.00028949478, 0.0018386187, 0.0004682487, 0.9934164, 0.0011303657]",3943043,772,Spain,2,4644,4660,Pass
123,0.2655718,"[1.0139243e-05, 1.55171e-05, 1.7310582e-05, 2.4250085e-05, 1.9793717e-05, 5.3164193e-05, 3.3793018e-05, 0.9998261]",3943043,772,Spain,2,4643,4659,Pass
9,0.25816146,"[0.0023483392, 0.0021190203, 0.0025779803, 0.00269254, 0.0035413518, 0.0028942788, 0.0070243953, 0.9768021]",3943043,772,Spain,1,239,257,Pass
134,0.25801435,"[3.9388096e-06, 3.6180434e-06, 4.339148e-06, 2.2337974e-05, 1.0956301e-05, 0.0001234276, 0.00015645138, 0.9996749]",3943043,772,Spain,2,5083,5097,Pass
110,0.2555334,"[4.2225028e-07, 5.585154e-08, 1.2738317e-05, 3.144659e-07, 7.501791e-08, 2.7055123e-06, 1.3328545e-06, 0.99998236]",3943043,772,Spain,2,4125,4140,Pass
30,0.25546837,"[6.1530886e-07, 2.8862654e-08, 2.4685738e-08, 5.678961e-06, 1.0928154e-08, 1.202927e-07, 1.13772074e-07, 0.99999344]",3943043,772,Spain,1,1120,1128,Pass
92,0.25227538,"[0.012776976, 0.0050806873, 0.02386021, 0.019418655, 0.0091690635, 0.003833004, 0.061540905, 0.8643205]",3943043,772,Spain,2,3287,3299,Shot
69,0.25056577,"[0.0026692194, 0.012384871, 0.0017660339, 0.04095688, 0.0001359182, 0.029597934, 0.013373309, 0.89911586]",3943043,772,Spain,1,2528,2543,Pass
110,0.24991165,"[2.015055e-06, 0.00019614573, 2.7715332e-06, 1.8175248e-05, 3.6485984e-05, 3.0828498e-05, 0.9956393, 0.00407429]",3943043,772,Spain,2,4127,4142,Pass
22,0.247016,"[0.0096267825, 0.8719748, 0.11839837, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
120,0.24463366,"[0.00030309623, 6.712752e-06, 1.3830609e-05, 1.2602001e-05, 0.00018048898, 1.9382409e-05, 0.8560926, 0.14337133]",3943043,768,England,2,4442,4454,Pass
