possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,0.3193513,"[0.12434948, 0.16294768, 0.50004554, 0.10972729, 0.102929994, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
123,0.28510067,"[0.23305753, 0.020482441, 0.028689088, 0.0280954, 0.18281844, 0.0044758217, 0.44266897, 0.059712317]",3943043,772,Spain,2,4644,4660,Pass
26,0.27806935,"[0.267069, 0.11593312, 0.19069242, 0.01421288, 0.0008290722, 4.5499753e-08, 0.00016921796, 0.41109422]",3943043,768,England,1,872,883,Pass
134,0.27353102,"[0.15367752, 0.09381734, 0.27344206, 1.4749792e-06, 0.038971018, 2.399424e-07, 0.0025907226, 0.43749964]",3943043,772,Spain,2,5083,5097,Pass
136,0.27352962,"[0.0002299748, 0.12158636, 0.031032398, 0.52351177, 0.010926285, 0.00047364944, 0.3117998, 0.0004398397]",3943043,772,Spain,2,5148,5156,Goal
22,0.27139127,"[0.5344013, 0.03938885, 0.42620984, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
69,0.26678914,"[0.4011864, 0.066156216, 2.8241626e-05, 1.2559814e-05, 7.74223e-06, 0.5, 0.031425994, 0.0011828427]",3943043,772,Spain,1,2532,2544,Shot
123,0.26582998,"[0.0052874335, 0.16179803, 0.0043566544, 0.035478543, 0.0032996428, 0.33120647, 0.02413868, 0.43443453]",3943043,772,Spain,2,4643,4659,Pass
69,0.26205018,"[0.019637376, 0.4870366, 0.23819433, 0.0050763097, 8.212316e-06, 1.2596269e-06, 4.8539645e-05, 0.24999742]",3943043,772,Spain,1,2528,2543,Pass
26,0.26137605,"[0.20667465, 0.24365479, 0.000120531746, 0.011294671, 0.03137997, 0.00687535, 0.34363356, 0.15636642]",3943043,768,England,1,873,883,Pass
30,0.25990152,"[0.04098608, 0.00065852184, 0.47208893, 1.0037857e-06, 0.0011927955, 0.0007676862, 0.109306395, 0.3749986]",3943043,772,Spain,1,1120,1128,Pass
69,0.25714272,"[0.33210242, 0.39885232, 0.0017173255, 0.0125872195, 0.0014140529, 0.0029880758, 0.00033833945, 0.25000024]",3943043,772,Spain,1,2530,2544,Pass
9,0.25674754,"[0.0029421486, 0.125608, 0.0002910502, 0.0039718775, 0.17324, 0.31901383, 0.3716712, 0.0032619117]",3943043,772,Spain,1,244,258,Pass
9,0.2521382,"[0.009360614, 0.084901944, 0.00013465583, 0.0007766807, 2.9511966e-07, 0.07143365, 0.42714214, 0.40625003]",3943043,772,Spain,1,239,257,Pass
36,0.250019,"[0.48393646, 0.0007719809, 0.014790974, 0.0008410376, 0.0014176249, 0.18620779, 0.00058623566, 0.31144792]",3943043,772,Spain,1,1349,1364,Pass
129,0.24841136,"[0.07482426, 0.00020825912, 0.04817552, 0.00014074275, 0.10496549, 0.06228053, 0.20940521, 0.5]",3943043,772,Spain,2,4869,4873,Shot
110,0.2474193,"[0.29751584, 0.21669105, 0.02995384, 0.00013529544, 0.048238374, 0.060629584, 0.001789888, 0.34504616]",3943043,772,Spain,2,4125,4140,Pass
120,0.2453284,"[0.031146735, 0.40277183, 1.7036375e-05, 0.0028237805, 0.031243285, 0.00073947076, 0.34262797, 0.1886299]",3943043,768,England,2,4442,4454,Pass
110,0.2425766,"[0.4016486, 0.0007488475, 0.025822429, 0.07385087, 0.005775317, 0.076601736, 0.3435495, 0.07200268]",3943043,772,Spain,2,4127,4142,Pass
120,0.24250466,"[0.25325546, 0.2492031, 0.19726472, 8.949669e-05, 0.0014396445, 0.025139492, 0.005953511, 0.26765466]",3943043,768,England,2,4439,4453,Pass
