possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
92,0.2966212,"[0.1820346, 0.12908271, 0.07394368, 0.06956239, 0.08440812, 0.10775547, 0.19362928, 0.15958373]",3943043,772,Spain,2,3287,3299,Shot
136,0.28615808,"[0.18597503, 0.13065082, 0.07792278, 0.07445756, 0.08611483, 0.123265006, 0.18229003, 0.1393239]",3943043,772,Spain,2,5148,5156,Goal
137,0.2727203,"[0.18391532, 0.12965146, 0.07514409, 0.07376955, 0.08790043, 0.12553814, 0.19141498, 0.13266593]",3943043,768,England,2,5265,5279,Pass
69,0.27157688,"[0.16000067, 0.10472472, 0.06930727, 0.068800226, 0.08680061, 0.12710224, 0.20674562, 0.1765186]",3943043,772,Spain,1,2532,2544,Shot
123,0.25932685,"[0.18575191, 0.13058403, 0.07693262, 0.07314326, 0.09071869, 0.12952644, 0.18048985, 0.13285322]",3943043,772,Spain,2,4644,4660,Pass
26,0.25787464,"[0.19449492, 0.13918301, 0.08320404, 0.07945264, 0.09580174, 0.11153148, 0.18225637, 0.11407573]",3943043,768,England,1,872,883,Pass
26,0.2569701,"[0.18728796, 0.14100206, 0.07925794, 0.076454625, 0.08488675, 0.11904327, 0.17835748, 0.13370985]",3943043,768,England,1,873,883,Pass
69,0.25421828,"[0.17621772, 0.12522078, 0.07294407, 0.073996805, 0.09214575, 0.1261134, 0.19619042, 0.13717103]",3943043,772,Spain,1,2530,2544,Pass
9,0.25067586,"[0.18188508, 0.13186675, 0.07678248, 0.07389461, 0.09539473, 0.12339478, 0.1836445, 0.13313703]",3943043,772,Spain,1,244,258,Pass
105,0.2495134,"[0.18473203, 0.13366835, 0.07735196, 0.07515029, 0.08839788, 0.12215004, 0.18280506, 0.13574435]",3943043,772,Spain,2,3938,3945,Shot
110,0.24947387,"[0.1899318, 0.13653357, 0.080210425, 0.07683232, 0.08716165, 0.11983768, 0.17533146, 0.13416113]",3943043,772,Spain,2,4127,4142,Pass
134,0.24828412,"[0.19100305, 0.13857014, 0.08125873, 0.07744273, 0.09770915, 0.11675281, 0.18301581, 0.11424752]",3943043,772,Spain,2,5083,5097,Pass
